Move;Type
Megahorn;Bug
U-turn;Bug
Leech Life;Bug
Lunge;Bug
String Shot;Bug
Silver Wind;Bug
Rage Powder;Bug
Pin Missile;Bug
Crunch;Dark
Sucker Punch;Dark
Night Slash;Dark
Taunt;Dark
Nasty Plot;Dark
Flatter;Dark
Draco Meteor;Dragon
Dragon Claw;Dragon
Dragon Rush;Dragon
Twister;Dragon
Outrage;Dragon
Dragon Dance;Dragon
Dragon Pulse;Dragon
Thunder;Electric
Thunder Punch;Electric
Thunder Shock;Electric
Volt Tackle;Electric
Spark;Electric
Thunderbolt;Electric
Electric Terrain;Electric
Electroweb;Electric
Charge;Electric
Dazzling Gleam;Fairy
Play Rough;Fairy
Charm;Fairy
Draining Kiss;Fairy
Sweet Kiss;Fairy
High Jump Kick;Fighting
Cross Chop;Fighting
Close Combat;Fighting
Drain Punch;Fighting
Rolling Kick;Fighting
Submission;Fighting
Dynamic Punch;Fighting
Power-Up Punch;Fighting
Rock Smash;Fighting
Bulk Up;Fighting
Fire Punch;Fire
Fire Blast;Fire
Lava Plume;Fire
Heat Wave;Fire
Ember;Fire
Fire Spin;Fire
Flamethrower;Fire
Flame Wheel;Fire
Flame Charge;Fire
Flare Blitz;Fire
Will-O-Wisp;Fire
Drill Peck;Flying
Fly;Flying
Bounce;Flying
Sky Attack;Flying
Aerial Ace;Flying
Hurricane;Flying
Gust;Flying
Tailwind;Flying
Roost;Flying
Lick;Ghost
Astonish;Ghost
Shadow Ball;Ghost
Confuse Ray;Ghost
Vine Whip;Grass
Solar Beam;Grass
Bullet Seed;Grass
Mega Drain;Grass
Petal Dance;Grass
Razor Leaf;Grass
Leech Seed;Grass
Stun Spore;Grass
Synthesis;Grass
Spore;Grass
Earthquake;Ground
Dig;Ground
Mud Bomb;Ground
Bonemerang;Ground
Mud-Slap;Ground
Shore Up;Ground
Spikes;Ground
Ice Punch;Ice
Icicle Crash;Ice
Ice Beam;Ice
Icy Wind;Ice
Blizzard;Ice
Aurora Veil;Ice
Mega Punch;Normal
Self-Destruct;Normal
Hyper Beam;Normal
Scratch;Normal
Slam;Normal
Take Down;Normal
Stomp;Normal
Giga Impact;Normal
Tackle;Normal
Fury Swipes;Normal
Extreme Speed;Normal
Flail;Normal
Tri Attack;Normal
Splash;Normal
Harden;Normal
Swords Dance;Normal
Growl;Normal
Leer;Normal
Whirlwind;Normal
Recover;Normal
Roar;Normal
Soft-Boiled;Normal
Supersonic;Normal
Sing;Normal
Transform;Normal
Substitute;Normal
Belly Drum;Normal
Work Up;Normal
Flash;Normal
Focus Energy;Normal
Egg Bomb;Normal
Follow Me;Normal
Explosion;Normal
Comet Punch;Normal
Smog;Poison
Sludge Bomb;Poison
Poison Sting;Poison
Poison Powder;Poison
Toxic;Poison
Acid Armor;Poison
Venom Drench;Poison
Zen Headbutt;Psychic
Psycho Cut;Psychic
Psystrike;Psychic
Psychic;Psychic
Psybeam;Psychic
Barrier;Psychic
Amnesia;Psychic
Light Screen;Psychic
Hypnosis;Psychic
Agility;Psychic
Teleport;Psychic
Meditate;Psychic
Rest;Psychic
Rock Throw;Rock
Rock Tomb;Rock
Stealth Rock;Rock
Sandstorm;Rock
Rollout;Rock
Rock Polish;Rock
Rock Blast;Rock
Metal Claw;Steel
Flash Cannon;Steel
Steel Wing;Steel
Iron Tail;Steel
Metal Sound;Steel
Iron Defense;Steel
Waterfall;Water
Hydro Pump;Water
Aqua Jet;Water
Surf;Water
Whirlpool;Water
Bubble;Water
Withdraw;Water
Aqua Ring;Water
