Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,Position,Jersey Number,Joined,Height,Weight
L. Messi,31,Argentina,94,94,FC Barcelona,110.5M,565K,2202,Left,RF,10,"Jul 1 2004",5'7,159lbs
L. Suarez,31,Uruguay,91,91,FC Barcelona,80M,455K,2346,Right,RS,9,"Jul 11 2014",6'0,190lbs
L. Modric,32,Croatia,91,91,Real Madrid,67M,420K,2280,Right,RCM,10,"Aug 1 2012",5'8,146lbs
Cristiano Ronaldo,33,Portugal,94,94,Juventus,77M,405K,2228,Right,ST,7,"Jul 10 2018",6'2,183lbs
Sergio Ramos,32,Spain,91,91,Real Madrid,51M,380K,2201,Right,RCB,15,"Aug 1 2005",6'0,181lbs
K. De Bruyne,27,Belgium,91,92,Manchester City,102M,355K,2281,Right,RCM,7,"Aug 30 2015",5'11,154lbs
T. Kroos,28,Germany,90,90,Real Madrid,76.5M,355K,2190,Right,LCM,8,"Jul 17 2014",6'0,168lbs
G. Bale,28,Wales,88,88,Real Madrid,60M,355K,2279,Left,ST,11,"Sep 2 2013",6'1,181lbs
E. Hazard,27,Belgium,91,91,Chelsea,93M,340K,2142,Right,LF,10,"Jul 1 2012",5'8,163lbs
Coutinho,26,Brazil,88,89,FC Barcelona,69.5M,340K,2175,Right,LW,7,"Jan 6 2018",5'8,150lbs
Sergio Busquets,29,Spain,89,89,FC Barcelona,51.5M,315K,2065,Right,CDM,5,"Sep 1 2008",6'2,168lbs
J. Rodriguez,26,Colombia,88,89,FC Bayern Munchen,69.5M,315K,2171,Left,LAM,10,Real Madrid,5'11,172lbs
Isco,26,Spain,88,91,Real Madrid,73.5M,315K,2137,Right,LW,22,"Jul 3 2013",5'9,174lbs
S. Aguero,30,Argentina,89,89,Manchester City,64.5M,300K,2107,Right,ST,10,"Jul 28 2011",5'8,154lbs
Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118.5M,290K,2143,Right,LW,10,"Aug 3 2017",5'9,150lbs
David Silva,32,Spain,90,90,Manchester City,60M,285K,2115,Left,LCM,21,"Jul 14 2010",5'8,148lbs
Casemiro,26,Brazil,88,90,Real Madrid,59.5M,285K,2170,Right,CDM,14,"Jul 11 2013",6'1,185lbs
Marcelo,30,Brazil,88,88,Real Madrid,43M,285K,2279,Left,LB,12,"Jan 1 2007",5'9,176lbs
P. Aubameyang,29,Gabon,88,88,Arsenal,59M,265K,2069,Right,LM,14,"Jan 31 2018",6'2,176lbs
De Gea,27,Spain,91,93,Manchester United,72M,260K,1471,Right,GK,1,"Jul 1 2011",6'4,168lbs
I. Rakitic,30,Croatia,87,87,FC Barcelona,46.5M,260K,2184,Right,RCM,4,"Jul 1 2014",6'0,172lbs
M. Salah,26,Egypt,88,89,Liverpool,69.5M,255K,2146,Left,RM,10,"Jul 1 2017",5'9,157lbs
Jordi Alba,29,Spain,87,87,FC Barcelona,38M,250K,2230,Left,LB,18,"Jul 1 2012",5'7,150lbs
G. Higuaun,30,Argentina,88,88,Milan,57M,245K,1965,Right,LS,9,Juventus,6'1,196lbs
M. ter Stegen,26,Germany,89,92,FC Barcelona,58M,240K,1328,Right,GK,22,"Jul 1 2014",6'2,187lbs
T. Courtois,26,Belgium,89,90,Real Madrid,53.5M,240K,1311,Left,GK,1,"Aug 9 2018",6'6,212lbs
